start;end;regione;comune
35935744;35935999;Lombardia;Viadana
35936000;35936255;Toscana;Pisa
35936256;35937535;Lombardia;Milan
35937536;35937791;Piemonte;Biella
35937792;35938047;Piemonte;Torino
35938048;35938303;Piemonte;Ivrea
35938304;35938559;Lombardia;Brescia
35938560;35938815;Lombardia;Milan
35938816;35939071;Lombardia;Brescia
35939072;35939327;Lombardia;Bergamo
35939328;35939583;Lombardia;Brescia
35939584;35939839;Lombardia;Milan
35939840;35940095;Lombardia;Varese
35940096;35940351;Lombardia;Milan
35940352;35940607;Lombardia;Brescia
35940608;35940863;Lombardia;Milan
35940864;35941119;Lombardia;Brescia
35941120;35943167;Lombardia;Milan
35943168;35943423;Lombardia;Brescia
35943424;35943679;Lombardia;Milan
35943680;35943935;Piemonte;Pozzolo Formigaro
35943936;35944447;Lombardia;Milan
35944448;35944703;Lombardia;Viadana
35944704;35944959;Liguria;Genova
35944960;35945215;Lombardia;Milan
35945216;35945471;Lombardia;Bergamo
35945472;35945727;Piemonte;Torino
35945728;35945983;Lombardia;Busto Arsizio
35945984;35946495;Piemonte;Ivrea
35946496;35946751;Piemonte;Torino
35946752;35947007;Emilia-Romagna;Bologna
35947008;35948287;Lombardia;Milan
35948288;35948543;Lombardia;Ispra
35948544;35949055;Liguria;Genova
35949056;35949311;Sicilia;Catania
35949312;35949567;Piemonte;Torino
35949568;35950079;Piemonte;Ivrea
35950080;35950591;Piemonte;Torino
35950592;35951615;Piemonte;Ivrea
35951616;35951871;Emilia-Romagna;Fiorenzuola d'Arda
35951872;35952127;Lombardia;Voghera
35952128;35952639;Lombardia;Milan
35952640;35953151;Piemonte;Torino
35953152;35953663;Piemonte;Ivrea
35953664;35953919;Lombardia;Milan
35953920;35954175;Lombardia;Monzambano
35954176;35954431;Lombardia;Milan
35954432;35954687;Lombardia;Cremona
35954688;35954943;Lombardia;Bergamo
35954944;35956735;Lombardia;Milan
35956736;35957247;Piemonte;Galliate
35957248;35958271;Lombardia;Milan
35958272;35958527;Lombardia;Varese
35958528;35958783;Piemonte;Ivrea
35958784;35959295;Lombardia;Bergamo
35959296;35959551;Lombardia;Milan
35959552;35959807;Lombardia;Bergamo
35959808;35960063;Lombardia;Milan
35960064;35960319;Emilia-Romagna;Rimini
35960320;35960575;Lombardia;Brescia
35960576;35960831;Lombardia;Bergamo
35960832;35961087;Lombardia;Milan
35961088;35961343;Piemonte;Ivrea
35961344;35961599;Piemonte;Torino
35961600;35961855;Liguria;Genova
35961856;35962111;Piemonte;Torino
35962112;35962367;Piemonte;Alessandria
35962368;35963135;Lombardia;Milan
35963136;35963391;Toscana;Florence
35963392;35963647;Lombardia;Viadana
35963648;35963903;Liguria;Genova
